web_scraper_order,product,variant,comment,created_at,reason
1773397937-539,Phấn Má Hồng Mịn Lì 3CE Face Blush,Delectable-Hồng dâu,"Hàng china , mình trả hàng thì ko cho , từ chối khiếu nại của mình . Ủa bình thường mua shopee mall chắc cú lắm , mà sao nay shoppe mall kì vậy trời .",2026-01-14 09:30,Không giống mô tả / quảng cáo
1773397937-541,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#02 Taupe,Shop làm việc quá chậm,2026-01-18 20:47,Khác / Không rõ
1773397937-542,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,"Team mê màu hằmmm 🩷🌸. Cái màu nó ngọt ngào, đáng yêu, công chúa sao í 💌 Nay sốp lên thêm vài mẫu đầm mặc đi tiệc, đi date siu hợp lun nhen 🎠✨",2026-01-13 14:38,Khác / Không rõ
1773397937-543,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Laydown-Hồng trầ,"Son màu như màu mắm tôm, không giống như hàng quảng cáo, biết là mỗi màu môi thì son đánh lên khác màu nhưng mà màu này quá tối, quá tệ, như bán hàng giả, kh nên mua",2026-01-13 12:29,Thiếu hàng / sai sản phẩm
1773397937-544,Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion,(Lõi Refill)-W04,Hộp kg nguyên vẹn mất cả nắp hộp Hộp giấy cũ kg có dán tem hoặc đã bị khui hộp giấy rồi,2026-01-13 12:17,Khác / Không rõ
1773397937-545,Phấn Má Hồng Mịn Lì 3CE Face Blush,Nude Peach-Be nude,"Shop làm việc kém, k hoàn trả hàng lại cho khách",2026-01-13 10:16,Chất lượng sản phẩm kém
1773397937-547,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Tui xấu,2026-01-12 16:11,Khác / Không rõ
1773397937-548,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Slick,"Cách chăm sóc khách hàng quá tệ, shop xứng đáng 1 sao, ko biét hỗ trợ khách , bắt khách dùng 2 mã spham giống nhau để đến kiếp nào mới hết",2026-01-12 16:11,Chất lượng sản phẩm kém
1773397937-549,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,"Quá tệ mang tiếng nhãn hàng lớn, khach mua nhầm thành 2 san phâm Giônh nhau cũng ko hỗ trợ đổi trả cho khách, ko bao giờ quay lai mua hagg nữa quá tệ",2026-01-12 16:11,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-550,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Double Wind-Hồng khô,Quá tệ cách hỗ trợ khách hàng ko bgio mua laik lần 2,2026-01-12 16:11,Chất lượng sản phẩm kém
1773397937-552,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,BUDDY-Hồng cá hồi,Màu khác xa hình,2026-01-12 09:29,Không giống mô tả / quảng cáo
1773397937-553,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,HUSH RED-Đỏ mâm xôi,"Sơn thơm nhưng màu xấu. Chất son siêu xấu. Hạt màu lớn, khó tán màu trên môi, môi hơi khô xíu thôi là lộ hết phần khô ra. Tên son là len mịn lì nhưng ko mịn xíu nào đâu, cũng ko giống mấy chất son bùn hay son nhung đồ đâu nha.",2026-01-11 16:57,Chất lượng sản phẩm kém
1773397937-554,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,Made in china ?????,2026-01-11 12:04,Không giống mô tả / quảng cáo
1773397937-556,Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion,Tông Lạnh - P02,"Đã mua phân loại da sáng rồi. Mà về đánh da mặt tối hơn da cổ nữa, trong khi mình da không trắng. Chưa kể, review bảo nhiều dưỡng nhưng đánh lên rất bết và lì, da khô như mình rất dễ môccs vaf bị cặn nếu không đánh kĩ. Giá tiền vậy mà về chất cũng như màu hoàn toàn không ưng",2026-01-11 07:08,Không giống mô tả / quảng cáo
1773397937-557,Son Pha Lê 3CE Misty Lip Bare,09 - Driftwood,"Mình ko đề cập chất lượng sp vì mình chưa dùng, nhưng mình gửi 1 sao thì cách làm việc của nhân viên 3CE. Mình đặt trùng đơn nên đã huỷ đơn khi còn chưa lấy hàng, nhưng sau đó nhân viên vẫn cho đơn đi, vì đơn này mình đã thanh toán rồi. Mình nghĩ do các bạn nắm đc tiền thanh toán rồi nên mới cố chấp như vậy. Hãng mình cũng lớn, đừng làm lẻ tẻ như vậy ạ. Mình ko làm sai luật của sàn hay gì cả. Mong nhân viên của hãng chú ý hơn, đừng để khách mua 1 lần rồi ko có ý định mua lại dù sản phẩm có chất lượng như thế nào.",2026-01-11 02:16,Thiếu hàng / sai sản phẩm
1773397937-559,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Casual Affair-Hồng,fake,2026-01-10 14:12,Không giống mô tả / quảng cáo
1773397937-561,Son kem lì nhung mịn 3CE Velvet Lip Tint,Speak Up-Lê đỏ ngâm,"Shop gửi hàng chỉ còn hsd 11 tháng, với hàng mỹ phẩm như vậy thì như xả tồn kho vậy. Mình rất khó chịu vì chi gần 300k ra mua 1 sp kiểu sắp hết hạn này.",2026-01-10 12:59,Khác / Không rõ
1773397937-563,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#21 Heated,Quá tệ,2026-01-10 10:04,Chất lượng sản phẩm kém
1773397937-564,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,"Khỏi nói nhiều treo đầu dê bán thịt chó, ai chuẩn bị săn seo 15/1 thì chú ý nha, tặng quà không đúng với như nhưng gì trên live nói đâu",2026-01-09 13:49,Thiếu hàng / sai sản phẩm
1773397937-565,(GWP) Son Kem Nhung Mịn 3CE Velvet Lip Tint Mini #Taupe,,"Khỏi nói nhiều treo đầu dê bán thịt chó, ai chuẩn bị săn seo 15/1 thì chú ý nha, tặng quà không đúng với như nhưng gì trên live nói đâu.",2026-01-09 13:49,Thiếu hàng / sai sản phẩm
1773397937-567,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,"hàng bị hỏng bung vít, muốn đổi",2026-01-08 22:56,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-569,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Lazy Talk,Màu lên k bền nha. Đánh đc có 4 tiếng bị mốc nền ngay chỗ đánh má hồng rồi. Highlight bị mất luôn. Đc cái màu nhìn cute thôi chứ độ bám thua xa má hồng các hãng khác. Làm xấu luôn cả nền. Đọc toàn thấy khen lấy khen để. Mua về xài mới biết thực hư. Chán,2026-01-08 15:15,Chất lượng sản phẩm kém
1773397937-570,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Breeze Way-Cam n,"màu rất xấu, hỗ trợ khách hàng một cách gian dối. Không bao giờ mua lại lần 2",2026-01-08 14:58,Chất lượng sản phẩm kém
1773397937-572,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,PURE BLEND-Hồng da,"Ko như quản cáo , ko cho test sp",2026-01-08 10:40,Khác / Không rõ
1773397937-573,Phấn Má Hồng Mịn Lì 3CE Face Blush,Mono Pink-Hồng khô,"Hộp màu nhạt là hàng mình mới mua từ shop, xuất sứ TQ. Màu nhạt lên má k đẹp bằng màu cũ, phấn bay tả tơi hỏi shop về xuất sứ thì lòng vòng cố tình né tránh. Chán!!!",2026-01-07 22:22,Chất lượng sản phẩm kém
1773397937-574,Son kem lì nhung mịn 3CE Velvet Lip Tint,Think Again-Mơ ngọt,k cho hoàn trả hàng mặc dù k đúng . mọi ng mua nên cân nhắc,2026-01-07 21:49,Chất lượng sản phẩm kém
1773397937-575,Son Sáp Màu Mịn Lì 3CE Sketch Stick,07-Burnt Orange,"Son kiểu gì, không rơi không va đập mà gãy ngang. Mới được có mấy bữa. Không tính nhận xét, mà lướt lướt trúng thấy tức nên đánh giá cho shop xem lại hàng",2026-01-07 20:12,Chất lượng sản phẩm kém
1773397937-576,Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion,Tông Lạnh - P02,chọn màu tông lạnh mà đánh lên đen hơn mặt mộc ( siêu đennnnnnnnnnnnnnnnnnn ),2026-01-24 15:55,Khác / Không rõ
1773397937-577,Son Sáp Màu Mịn Lì 3CE Sketch Stick,03-Softly Spoken,son tự gãy nằm trong nắp.ko biết hàng giã hay gì.mình chưa gặp trường hợp này bao giờ,2026-01-08 15:04,Chất lượng sản phẩm kém
1773397937-579,Bảng Phấn Mắt 9 màu lâu trôi 3CE Multi Eye Color Palette,Dear Nude,"Giao tới bị bể, hoàn hàng đổi hàng k hỗ trợ",2026-01-07 08:02,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-580,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Coral Flush,"phần highlight phấn má 3ce dởm alwms mng k sử dụng đc nên mua phấn má loại khác , phấn trôi cực nhanh",2026-01-07 06:10,Chất lượng sản phẩm kém
1773397937-582,Son bóng dưỡng môi 3CE Glazy Lip Glow,#37 Raspberry Coate,Riết đóng gói hở đầu vậy đó hả? Có tôn trọng khách hàng không?,2026-01-06 17:44,Chất lượng sản phẩm kém
1773397937-584,Phấn Má Hồng 3CE Bouncy Blur Balm,Fig Soda,"Rõ ràng đơn hàng ghi được tặng son mà mình khong co,mịng laik quên mất ko quay video lại",2026-01-06 13:22,Khác / Không rõ
1773397937-586,Son kem lì nhung mịn 3CE Velvet Lip Tint,Childlike-Cam cháy,xly đơn hàng chậm chạm! thiếu chuyên nghiệp,2026-01-06 13:20,Thiếu hàng / sai sản phẩm
1773397937-587,(GWP) Son Len Mịn Lì 3CE Cashmere Hug Mini #Cozy Whisper,,Hình ảnh và video chỉ mang tính chất nhận xu chứ làm biếng đánh giá giải thích,2026-01-06 05:10,Không giống mô tả / quảng cáo
1773397937-589,Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick,SALTY CINNAMON-Nude,"Sản phẩm lần này mua quá thất vọng, không giống như lần trước mình dùng, chất son bột hơn, tô lên môi cảm giác rất khó chịu và thấy hơi ngứa môi, ko phù hợp, ko xứng đáng với giá trị tiền bỏ ra, không nên mua nhé mn",2026-01-05 23:41,Gây kích ứng da / breakout
1773397937-592,Phấn Má Hồng Mịn Lì 3CE Face Blush,Delectable-Hồng dâu,Sản phẩm made in china nhìn mà sốc không biết phải hàng thật không nữa đến tem dán còn sơ sài khuyên MỌI NGƯỜI KHÔNG NÊN MUA,2026-01-05 07:26,Không giống mô tả / quảng cáo
1773397937-593,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#21 Heated,"Sản phẩm đểu, chất lượng cực kém, mọi người đừng mua, phí tiền.",2026-01-04 19:36,Chất lượng sản phẩm kém
1773397937-594,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Laydown-Hồng trầm,Set lại trên môi texture ko đẹp,2026-01-04 12:01,Khác / Không rõ
1773397937-596,Son bóng dưỡng môi 3CE Glazy Lip Glow,#31 Lavender Cream,"mọi người mua hang kiểm tra kĩ , giao thiếu hàng như mình , quên quay video thì không khiếu nại được đâu , mua 1 hop má hồng 1 con , mà bỏ bao son vào ko bỏ son",2026-01-03 20:39,Thiếu hàng / sai sản phẩm
1773397937-597,Phấn Má Hồng Mịn Lì 3CE Face Blush,Delectable-Hồng dâu,"Phấn má gì mà đánh mấy lần mới lên màu, bất tiện vô cùng, đã thế còn kb hàng này của nước nào nữa, made in China :)",2026-01-03 18:07,Không giống mô tả / quảng cáo
1773397937-599,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Laydown-Hồng trầ,Không giống ảnh hãng xíu nào. Chụp còn nhìn ra màu hồng khô chứ bên ngoài n HỒNG TÍM đậm nha cho dù môi mình không bị thâm và thử lại lần nữa che khuyết điểm môi nhưng vẫn thế. Mua theo fomo thất vọng ghê,2026-01-03 11:57,Không giống mô tả / quảng cáo
1773397937-600,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Sepia-Đỏ táo trầm,"Bth mk mua 3ce ở Hàn đây là ở TQ, chịu luôn r.. màu k giống cây trước mua 1 xíu nào",2026-01-02 23:15,Không giống mô tả / quảng cáo
1773397937-602,Son kem lì nhung mịn 3CE Velvet Lip Tint,Private-Đỏ lạnh,Màu xấu tệ,2026-01-02 19:30,Chất lượng sản phẩm kém
1773397937-603,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Sepia-Đỏ táo trầm,"đánh lên thì đẹp, tầm 2p sau set lại tím ngắt, thâm xì kinh lắm luôn ấy :)))) phân vân mãi mới xuống tiền nhưng thất vọng tràn trề luôn 🙂🙂🙂🙂🙂🙂 đừng mua khuyên chân thành huh",2026-01-01 16:16,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-604,Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion,N1.5,Chăm sóc khách hàng kém hỏi mãi mới tl đc câu . Thấy đơn hàng trên bn $ là đc tặng quà nhưng khi hỏi thì kêu hết quà .,2026-01-01 13:23,Chất lượng sản phẩm kém
1773397937-607,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,BUDDY-Hồng cá hồi,Khong nen mua,2025-12-31 23:02,Khác / Không rõ
1773397937-608,Son Sáp Màu Mịn Lì 3CE Sketch Stick,05-High Standard,Mở ra thì đã bị gãy son. Hoàn hàng thì đến đoạn Shipper đã đến lấy hàng xong rồi thì trên hệ thống báo ng bán ko đồng ý. Vừa mất tiền mà cũng ko có son để dùng. Trải nghiệm quá tệ từ ng bán đến đơn vị vận chuyển. Moi ng chua ý nên chọn cửa hàng uy tín mua nhé. Mua kiểu này hãi đến già,2025-12-31 22:56,Dịch vụ CSKH kém
1773397937-609,Son bóng dưỡng môi 3CE Glazy Lip Glow,#33 Cool Sweetie,"Thường mua son mà khô quá nên mua dưỡng để xài, ai ngờ dưỡng cũng khô như gì. Ko nên mua nha.",2025-12-31 13:41,Chất lượng sản phẩm kém
1773397937-611,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Pink Guava-Hồng đào,"Son đánh lên màu Hồng tím , ăn nhẹ trôi sạch k còn lớp bass nhẹ , khô môi, trả hàng thì shop bảo là cơ địa mjk sai son không lì , h cơ địa lì mới được sai son hả Lấy hàng hoàn mjk hủy hoàn tiền mà k trả hàng lại , shop lm ăn lừa đảo đừng nên mua",2025-12-31 07:33,Thiếu hàng / sai sản phẩm
1773397937-612,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Laydown-Hồng trầ,Cái màu laydow là mua của shop còn cái bên trái là mùa shop khác sao của shop cái date là made in china có phải hàng fake kh cho 1 lời giải thích,2025-12-30 16:41,Không giống mô tả / quảng cáo
1773397937-613,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),COLDEST-Đỏ mận,Giáo hàng nhanh. Sản phẩm đẹp. Nhưng quá bất tiện lỡ vặn quá tay k vặn lại đc,2025-12-30 14:36,Khác / Không rõ
1773397937-614,Phấn Má Hồng Mịn Lì 3CE Face Blush,Mono Pink-Hồng khô,made in china,2025-12-30 12:27,Không giống mô tả / quảng cáo
1773397937-615,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Coral Moon-Cam gạch,Nghi ngờ hàng nhái mùi rất lồng và hắc đánh vào sót môi,2025-12-30 10:43,Không giống mô tả / quảng cáo
1773397937-617,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Pink Guava-Hồng,"Màu đánh lên rất nhạt, xấu",2025-12-30 10:28,Chất lượng sản phẩm kém
1773397937-619,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Double Wind-Hồng khô,"Chất son ko giống như trc mình vẫn dùng. Son đánh ko ăn, cứ trôi bợt đi đâu hết. Đánh mấy lớp thì môi lên màu hồng tím bầm thâm xì quả cả tím, như kiểu vừa bị ai đấm vào mòm. Ko hợp vs môi mình, dù môi mình hồng, ko hề bị thâm. Thất vọng về màu này quá 😭",2025-12-30 00:22,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-620,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#01 Speak Up,"Fake chắc 100% lun đừng có mua, tui bôi xong để 30p xong quay lại lấy tay chà thử xong nó bay hết cmnr, là lì dữ chưa???, 300k????",2025-12-29 21:20,Không giống mô tả / quảng cáo
1773397937-623,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,"Màu k đúng đỏ cam ,thành màu hồng đất",2025-12-29 19:32,Gây kích ứng da / breakout
1773397937-624,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Play Off-Đỏ cam,"T hoàn hàng k đc chấp nhận, nhưng đến nay lâu rồi cũng chưa thấy trả lại hàng cho t. Tiền thì t thanh toán rồi. Lúc đầu t vẫn đánh giá 5 sao, vì nó cũng chẳng vấn đề gì to tát. nhưng đợi mãi chưa nhận lại đc hàng. Làm việc chán thật.",2026-01-05 11:10,Giao hàng chậm
1773397937-627,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,YOUR SIDE-Hồng đất,Hàng trung quốc,2025-12-29 13:27,Khác / Không rõ
1773397937-628,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,"Mang tiếng mall nhưng làm việc hơn cái chợ, đổ lỗi cho KH gửi hoàn vỏ bẩn, đã sử dụng nhưng thực tế người mua chưa hề sử dụng và hộp còn nguyên mới lúc nhận, làm ăn bố láo, ko bao giờ quay lại mua. Nếu đã khẳng định vỏ bẩn hàng đã sử dụng thì cung cấp video bóc hàng hoàn lên đây đối chất, hơn 200k coi như làm từ thiện ko đúng chỗ",2025-12-29 11:26,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-632,Bảng Phấn Mắt 9 màu lâu trôi 3CE Multi Eye Color Palette,Dear Nude,"Hàng giả! Trời ơi chấp nhận mua mall dù mắc nhưng để yên tâm mà dính hàng giả là sao? Chất phấn rất bụi, loại m mua ở Hàn ko hề bụi như vậy lấy phấn zong gõ một cái bụi phấn bay khiếp hồn! Lạy shop làm ăn chân chính đi trời",2025-12-29 09:10,Không giống mô tả / quảng cáo
1773397937-633,Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion,N1.5,Đặt phân loại tên rõ ràng N1.5 xong giao lõi refill :))),2025-12-28 19:29,Khác / Không rõ
1773397937-634,Son Sáp Màu Mịn Lì 3CE Sketch Stick,05-High Standard,Son dễ gãy.,2026-01-23 10:29,Chất lượng sản phẩm kém
1773397937-635,Son Sáp Màu Mịn Lì 3CE Sketch Stick,05-High Standard,"Nhận son về mình để ở tủ nay mới bóc ra tô thấy son gãy,hazzz k ktra trc là vậy đấy",2025-12-28 17:49,Chất lượng sản phẩm kém
1773397937-636,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),COLDEST-Đỏ mận,"Nhận son rồi mà vặn thỏi son lên đánh, rồi sau không vặn xuống đc. Chắc phần vặn bị lỗi. Quá chán",2025-12-28 12:18,Chất lượng sản phẩm kém
1773397937-637,Son kem lì nhung mịn 3CE Velvet Lip Tint,Think Again-Mơ ngọt,Màu sai hoàn toàn so với màu quảng cáo. Đây là sản phẩm nhận được của think again.,2025-12-28 10:35,Thiếu hàng / sai sản phẩm
1773397937-638,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,"Giao hàng rất nhanh .Đóng gói oke. Xịt nồng mùi cồn . Xót da . Không có tác dụng giữ lớp trang điểm . Còn hơi khô nữa . Giọt phun to hạt, đọng nước",2025-12-26 15:19,Gây kích ứng da / breakout
1773397937-640,Bảng Phấn Mắt 9 màu lâu trôi 3CE Multi Eye Color Palette,Dear Nude,"Tệ, bảng khối k lên màu mấy, còn bảo có quà tặng nhưng lúc giao lại k có, chat hỗ trợ thì quanh co đủ lý do",2025-12-26 14:13,Chất lượng sản phẩm kém
1773397937-641,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Sepia-Đỏ táo trầm,"tạm tạm màu không hợp cho lắm vì quá thiên đỏ, maketzing cũng okok còn lại thì",2025-12-26 13:03,Gây kích ứng da / breakout
1773397937-642,Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion,N02,"Chỉ là lõi hộp phấn, mọi người có mua thì chú ý nhé",2025-12-26 11:59,Khác / Không rõ
1773397937-643,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,Khoá nền gì xịt lên làm lớp nền loang lổ .Luc đầu mình tưởng do mình đánh nền sai cách xong mình đánh lại và xịt của hãng khác lại rất ok .Nửa mặt còn lại mình thử 3ce và cái kết tẩy trang đánh lại nền tiếp vì loang lớp nền ra và chảy nền,2025-12-26 11:02,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-645,Son Sáp Màu Mịn Lì 3CE Sketch Stick,06-Always Enough,"Lõi son lỗi, mở ra là chạm vào vỏ",2025-12-25 18:07,Khác / Không rõ
1773397937-646,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Sepia-Đỏ táo trầm,Nhanh trôi.Ăn tí đã trôi hết,2025-12-25 12:30,Chất lượng sản phẩm kém
1773397937-649,Phấn Má Hồng Mịn Lì 3CE Face Blush,Rose Beige-Cam đào,"Mình định mua má hồng thôi, đc tư vấn trên live là mua 2 món tặng 1 túi đựng son mini, mình mua 2 món son vs má hồng nhưng shop gửi thiếu hàng cho mình. Mình liên hệ thì ko giải quyết cho mình, cứ bảo liên hệ shopee hoặc bảo đợi check hoài.",2025-12-25 12:25,Thiếu hàng / sai sản phẩm
1773397937-651,Son kem bùn mịn lì 3CE Hazy Lip Clay,BUTTER BEIGE-Cam đào,"Son màu rất xấu , không phải màu cam. Đánh lên môi rất bợt. Không trả lại vì đã quẹt thử nên đánh giá 1*",2025-12-25 07:59,Chất lượng sản phẩm kém
1773397937-653,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,YOUR SIDE-Hồng đất,Mua 05 mà giao 08 chán người ta mua màu hồng mà giao màu đỏ là sao,2025-12-24 21:07,Gây kích ứng da / breakout
1773397937-654,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,KNIT-Hồng khô,"Son quá bìng thường so với quảng cáo, thấy seeding lố quá nha, son màu k chuẩn mà dễ trôi",2025-12-24 16:54,Không giống mô tả / quảng cáo
1773397937-655,Phấn Má Hồng Mịn Lì 3CE Face Blush,City Mauve-Hồng khói,Đặt hàng xong hủy ngay nhưng shop vẫn cố chấp giao và không duyệt yêu cầu hủy. Dịch vụ quá tệ,2025-12-24 16:50,Chất lượng sản phẩm kém
1773397937-659,(GWP) Son Kem Mịn Mờ Môi 3CE Blur Water Tint Mini #Laydown,,"Hãy cẩn thận với shop này, nhãng hàng đúng nhưng người đại lý rất vô lý, giả tạo",2025-12-25 18:06,Không giống mô tả / quảng cáo
1773397937-663,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#02 Taupe,"Khi mình đánh giá đúng những mặt không tốt thì trang ẩn đi đáng giá của khách hàng mà không có chăm sóc khách hàng, rất bất mãn và không bao giờ ủng hộ shop không đáng tin",2025-12-24 10:57,Chất lượng sản phẩm kém
1773397937-664,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Coral Flush,"Đồ còn nguyện thậm chí box k móp méo mà trả hàng không cho, mình đã ủng hộ nhiều nhưng gặp vấn đề này mình thấy rất bất mãn và phi lí",2025-12-24 10:55,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-665,Mascara Siêu Mỏng Chống Nước 3CE Super Slim Waterproof Mascara - Black,,"Shop dịch vụ rất tệ, mình sẽ không bao giờ mua hàng ở đây nữa, rất giả dối",2025-12-24 10:58,Không giống mô tả / quảng cáo
1773397937-666,Son kem bùn mịn lì 3CE Hazy Lip Clay,CHERRY FLUFF-Hồng,Từ rày về sau thà bỏ tiền mua highend chứ không mua thêm sản phẩm nào nữa ở đây Mấy bạn mua hàng nên cẩn thận,2025-12-24 10:55,Chất lượng sản phẩm kém
1773397937-668,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Casual Affair-Hồng,Màu son nhìn trong ảnh hồng cam mà son nhận được màu hồng thậm vậy mà cũng bán được. Lại còn không cho trả hàng nữa thật mua bực vào người . Đừng ai mua son này !,2025-12-24 10:43,Chất lượng sản phẩm kém
1773397937-670,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,BUDDY-Hồng cá hồi,"Mua hàng lỗi khách mô tả, son bột bột đánh lên môi k ăn nhìn ghê chết đi được. Kêu do cơ địa các kiểu r kêu phải làm bước này bước kia. Làm đủ cả rồi nó vẫn thế. Son hàng chợ nó cũng k tệ như vậy. Hàng lỗi hoàn về kêu đã qua sd k hoàn được. Ủa ủa thế mua cái bánh hay cái j lỗi hư hỏng chắc t phải cố ăn cho hết quá để đi viện quá. Vô lý hết sức. Khách hàng phản hồi thì phải xem lỗi ở đâu mà giải quyết chứ vấn đề chất lượng k được đảm bảo thì phải tìm cách khắc phục chứ đừng đổ cho khách hàng là do như này như kia, xong còn cố mà bán cái hàng lỗi, thèm tiền mất lương tâm thế ah.",2025-12-23 14:35,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-671,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Breeze Way-Cam ngọt,Không nên mua,2025-12-23 12:12,Chất lượng sản phẩm kém
1773397937-672,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Slick,"Hàng ko tốt, gửi hàng ko đầy đủ Chất lượng ko ok, đóng gói đẹp , giao và cbi hàng chậm Shipper thân thiện . Săn đc giá tốt , rất ưng ý , sẽ ko tiếp tục ủng hộ shop Ths shop !!",2025-12-23 10:18,Khác / Không rõ
1773397937-673,Son kem bùn mịn lì 3CE Hazy Lip Clay,BUTTER BEIGE-Cam đào,Son chán thực sự. Môi t ko khô tí nào nha nhưng đánh ko tệp vào môi tí nào. Nhanh trôi. 1đ ko có nhưng,2025-12-23 08:16,Chất lượng sản phẩm kém
1773397937-674,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,Đặt trên live có quà tặng kèm mà về không có làm ăn z đó àaaaaaaa,2025-12-22 19:57,Chất lượng sản phẩm kém
1773397937-675,(GWP) Son Kem Nhung Mịn 3CE Velvet Lip Tint Mini #Taupe,,Đặt trên live có quà tặng kèm mà về không có làm ăn z đó à,2025-12-22 19:57,Chất lượng sản phẩm kém
1773397937-676,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Trả hàng SHOP báo caoz hàng móp kg sử lý,2025-12-22 18:26,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-678,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),RAIN OR SHINE-Pha lê,"Lần đầu thấy cái son thiết kế đần như này, chỉ vặn lên k vặn xuống được. Trả hàng thì shopee k cho, giờ vừa k hoàn tiền vừa k giao lại hàng. Trải nghiệm mua hàng cực kỳ tệ, MẤT CẢ TIỀN MẤT CẢ HÀNG",2025-12-22 08:48,Chất lượng sản phẩm kém
1773397937-679,"Bảng Phấn Trang Điểm 3CE Layer It All (Eye, Blush, Contour Palette)",Contour-Ash Brown,có nhận dc hàng đâu mà đánh giá,2025-12-21 22:51,Khác / Không rõ
